article_id,title,company_name,published_date,category,arr_usd,summary,url,industry,founded_year,headquarters,employee_count,is_public,stock_ticker,company_age,company_size_category
ART0004,Confluent Reports Record Revenue Growth,Confluent,2023-12-13,Artificial Intelligence,980000000,Investors show strong confidence in the company's growth trajectory and market position.,https://technews.example.com/articles/4,Cloud Computing,1995,"London, UK",3884,False,,28,Small
ART0009,MongoDB Expands into European Market,MongoDB,2023-02-07,AI & ML,1480000000,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/9,SaaS,2008,"Austin, TX",16952,False,MONG,15,Medium
ART0029,NVIDIA Announces Breakthrough in Large Language Models,NVIDIA,2023-09-13,Big Data,40500000000,Company reaches important financial milestone ahead of schedule.,https://technews.example.com/articles/29,AI/ML,2017,"London, UK",22031,False,,6,Medium
ART0033,SpaceX Achieves Profitability Milestone,SpaceX,2022-02-15,Cloud,5000000000,International expansion strategy focuses on enterprise customers in key markets.,https://technews.example.com/articles/33,AI/ML,2016,"Berlin, Germany",31018,False,,6,Large
ART0036,NVIDIA Launches New AI-Powered Product,NVIDIA,2023-09-05,AI/ML,40500000000,Major partnership validates technology and opens new revenue opportunities.,https://technews.example.com/articles/36,AI/ML,2017,"London, UK",22031,False,,6,Medium
ART0040,SpaceX CEO Discusses Future of AI,SpaceX,2023-04-11,AI/ML,7600000000,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/40,AI/ML,2016,"Berlin, Germany",31018,False,,7,Large
ART0051,Scale AI Unveils Next-Generation Platform,Scale AI,2022-10-02,AI/ML,570000000,Company reaches important financial milestone ahead of schedule.,https://technews.example.com/articles/51,AI/ML,2003,"Berlin, Germany",23379,False,,19,Medium
ART0056,Meta AI Raises Series D Funding Round,Meta AI,2022-03-31,Machine Learning,700000000,Regulatory concerns focus on data privacy and market competition issues.,https://technews.example.com/articles/56,Data Analytics,2001,"Seattle, WA",20240,True,,21,Medium
ART0060,SpaceX Raises Series D Funding Round,SpaceX,2023-01-20,Cloud Computing,7000000000,International expansion strategy focuses on enterprise customers in key markets.,https://technews.example.com/articles/60,AI/ML,2016,"Berlin, Germany",31018,False,,7,Large
ART0071,Palantir Raises Series D Funding Round,Palantir,2022-12-13,AI/ML,1700000000,International expansion strategy focuses on enterprise customers in key markets.,https://technews.example.com/articles/71,Cloud Computing,2005,"Berlin, Germany",42306,True,,17,Large
ART0079,Scale AI Raises Series D Funding Round,Scale AI,2023-07-09,Artificial Intelligence,735000000,Investors show strong confidence in the company's growth trajectory and market position.,https://technews.example.com/articles/79,AI/ML,2003,"Berlin, Germany",23379,False,,20,Medium
ART0085,Cloudflare Faces Regulatory Scrutiny,Cloudflare,2022-04-15,Artificial Intelligence,875000000,Investors show strong confidence in the company's growth trajectory and market position.,https://technews.example.com/articles/85,Cybersecurity,1998,"Austin, TX",4422,False,CLOU,24,Small
ART0100,Cloudflare Releases Open Source Framework,Cloudflare,2023-09-28,Artificial Intelligence,1260000000,Financial results exceed analyst expectations across all key metrics.,https://technews.example.com/articles/100,Cybersecurity,1998,"Austin, TX",4422,False,CLOU,25,Small
ART0119,Cloudflare Partners with Major Enterprise Client,Cloudflare,2023-06-14,Machine Learning,1180000000,International expansion strategy focuses on enterprise customers in key markets.,https://technews.example.com/articles/119,Cybersecurity,1998,"Austin, TX",4422,False,CLOU,25,Small
ART0120,SpaceX Achieves Profitability Milestone,SpaceX,2023-06-29,Machine Learning,7600000000,Regulatory concerns focus on data privacy and market competition issues.,https://technews.example.com/articles/120,AI/ML,2016,"Berlin, Germany",31018,False,,7,Large
ART0121,SpaceX Announces Breakthrough in Large Language Models,SpaceX,2023-06-13,FinTech,7600000000,Community contribution aims to accelerate innovation and adoption.,https://technews.example.com/articles/121,AI/ML,2016,"Berlin, Germany",31018,False,,7,Large
ART0122,Elastic Announces Breakthrough in Large Language Models,Elastic,2022-03-10,Artificial Intelligence,1010000000,Strategic acquisition strengthens competitive position and technology capabilities.,https://technews.example.com/articles/122,Cybersecurity,2016,"San Francisco, CA",24508,True,ELAS,6,Medium
ART0142,Cloudflare Expands into European Market,Cloudflare,2022-10-15,Machine Learning,1010000000,The company demonstrated significant advances in model performance and efficiency.,https://technews.example.com/articles/142,Cybersecurity,1998,"Austin, TX",4422,False,CLOU,24,Small
ART0168,SpaceX Releases Open Source Framework,SpaceX,2022-02-15,FinTech,5000000000,The company demonstrated significant advances in model performance and efficiency.,https://technews.example.com/articles/168,AI/ML,2016,"Berlin, Germany",31018,False,,6,Large
ART0219,Scale AI Raises Series D Funding Round,Scale AI,2023-12-12,AI/ML,760000000,Company reaches important financial milestone ahead of schedule.,https://technews.example.com/articles/219,AI/ML,2003,"Berlin, Germany",23379,False,,20,Medium
ART0222,SpaceX Faces Regulatory Scrutiny,SpaceX,2023-11-07,Cloud Services,8500000000,Strategic acquisition strengthens competitive position and technology capabilities.,https://technews.example.com/articles/222,AI/ML,2016,"Berlin, Germany",31018,False,,7,Large
ART0223,NVIDIA Releases Open Source Framework,NVIDIA,2023-05-15,Finance,36000000000,Regulatory concerns focus on data privacy and market competition issues.,https://technews.example.com/articles/223,AI/ML,2017,"London, UK",22031,False,,6,Medium
ART0228,SpaceX Raises Series D Funding Round,SpaceX,2022-07-17,Artificial Intelligence,6100000000,Platform improvements deliver enhanced performance and new capabilities.,https://technews.example.com/articles/228,AI/ML,2016,"Berlin, Germany",31018,False,,6,Large
ART0231,Meta AI Reports Record Revenue Growth,Meta AI,2022-11-08,Artificial Intelligence,1130000001,New product features leverage cutting-edge AI technology to solve customer problems.,https://technews.example.com/articles/231,Data Analytics,2001,"Seattle, WA",20240,True,,21,Medium
ART0236,NVIDIA Releases Open Source Framework,NVIDIA,2022-04-25,Analytics,17800000000,New product features leverage cutting-edge AI technology to solve customer problems.,https://technews.example.com/articles/236,AI/ML,2017,"London, UK",22031,False,,5,Medium
ART0239,Palantir Expands into European Market,Palantir,2022-08-06,AI & ML,1550000000,New product features leverage cutting-edge AI technology to solve customer problems.,https://technews.example.com/articles/239,Cloud Computing,2005,"Berlin, Germany",42306,True,,17,Large
ART0243,Confluent CEO Discusses Future of AI,Confluent,2022-03-19,AI/ML,600000000,New product features leverage cutting-edge AI technology to solve customer problems.,https://technews.example.com/articles/243,Cloud Computing,1995,"London, UK",3884,False,,27,Small
ART0249,Anthropic Reports Record Revenue Growth,Anthropic,2023-05-17,AI/ML,380000000,Strategic acquisition strengthens competitive position and technology capabilities.,https://technews.example.com/articles/249,FinTech,2006,"San Francisco, CA",43747,False,,17,Large
ART0257,Stripe Faces Regulatory Scrutiny,Stripe,2023-06-10,AI/ML,2600000000,Investors show strong confidence in the company's growth trajectory and market position.,https://technews.example.com/articles/257,Data Analytics,2002,"Seattle, WA",36348,True,STRI,21,Large
ART0258,SpaceX Unveils Next-Generation Platform,SpaceX,2023-02-08,Software,7000000000,The company demonstrated significant advances in model performance and efficiency.,https://technews.example.com/articles/258,AI/ML,2016,"Berlin, Germany",31018,False,,7,Large
ART0268,Snowflake Expands into European Market,Snowflake,2022-10-03,AI & ML,2180000000,Platform improvements deliver enhanced performance and new capabilities.,https://technews.example.com/articles/268,Cloud Computing,2012,"London, UK",49545,True,,10,Large
ART0273,Scale AI CEO Discusses Future of AI,Scale AI,2022-11-17,AI/ML,570000000,International expansion strategy focuses on enterprise customers in key markets.,https://technews.example.com/articles/273,AI/ML,2003,"Berlin, Germany",23379,False,,19,Medium
ART0274,Scale AI Expands into European Market,Scale AI,2022-05-17,Analytics,430000000,Regulatory concerns focus on data privacy and market competition issues.,https://technews.example.com/articles/274,AI/ML,2003,"Berlin, Germany",23379,False,,19,Medium
ART0318,Stripe Announces Breakthrough in Large Language Models,Stripe,2022-03-08,AI & ML,1700000000,Strategic acquisition strengthens competitive position and technology capabilities.,https://technews.example.com/articles/318,Data Analytics,2002,"Seattle, WA",36348,True,STRI,20,Large
ART0322,Meta AI Launches New AI-Powered Product,Meta AI,2023-10-06,Artificial Intelligence,1500000000,Investors show strong confidence in the company's growth trajectory and market position.,https://technews.example.com/articles/322,Data Analytics,2001,"Seattle, WA",20240,True,,22,Medium
ART0350,Scale AI Reports Record Revenue Growth,Scale AI,2023-10-18,FinTech,760000000,Financial results exceed analyst expectations across all key metrics.,https://technews.example.com/articles/350,AI/ML,2003,"Berlin, Germany",23379,False,,20,Medium
ART0359,Scale AI Raises Series D Funding Round,Scale AI,2022-07-10,Data Analytics,500000000,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/359,AI/ML,2003,"Berlin, Germany",23379,False,,19,Medium
ART0370,Scale AI Unveils Next-Generation Platform,Scale AI,2022-12-25,Cybersecurity,570000000,Company reaches important financial milestone ahead of schedule.,https://technews.example.com/articles/370,AI/ML,2003,"Berlin, Germany",23379,False,,19,Medium
ART0387,Elastic Unveils Next-Generation Platform,Elastic,2023-02-17,AI & ML,1100000000,New product features leverage cutting-edge AI technology to solve customer problems.,https://technews.example.com/articles/387,Cybersecurity,2016,"San Francisco, CA",24508,True,ELAS,7,Medium
