article_sk,article_id,company_key,title,summary,url,author,word_count,published_date,published_year,published_quarter,published_month,category_raw,category_std,date_status,company_match_method,company_match_score
16d983290bb72fbb,ART0001,fa6bad2933b44844,Scale AI Raises Series D Funding Round,The company demonstrated significant advances in model performance and efficiency.,https://technews.example.com/articles/1,John Smith,2569.0,2020-02-21,2020,1,2,Financial Technology,FINTECH,parsed,exact,
f886c64db664c45d,ART0002,62269e661965e40c,DataRobot Announces Breakthrough in Large Language Models,Strategic acquisition strengthens competitive position and technology capabilities.,https://technews.example.com/articles/2,Alex Johnson,1878.0,2023-02-23,2023,1,2,Software,SOFTWARE,parsed,exact,
b468ddf95cc2a5fb,ART0003,6feb65f1f31ac009,Meta AI Raises Series D Funding Round,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/3,John Smith,1981.0,2022-02-17,2022,1,2,Analytics,DATA,parsed,exact,
09a10d4f0c6aaf1b,ART0004,bc082590153cc57d,Confluent Reports Record Revenue Growth,Investors show strong confidence in the company's growth trajectory and market position.,https://technews.example.com/articles/4,Sam Wilson,1994.0,2023-12-13,2023,4,12,Artificial Intelligence,AI_ML,parsed,exact,
ef2bdf12ec0ca3b0,ART0005,524afd4c0fc5ca4f,Amazon Web Services Acquires Competitor for Undisclosed Sum,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/5,Alex Johnson,2781.0,2021-12-28,2021,4,12,Financial Technology,FINTECH,parsed,exact,
09eef795794b4b4b,ART0006,10c8bf3d1264efe9,NVIDIA Achieves Profitability Milestone,Financial results exceed analyst expectations across all key metrics.,https://technews.example.com/articles/6,,1788.0,2021-10-26,2021,4,10,FinTech,FINTECH,parsed,exact,
e08a5968031cd445,ART0007,2fb982d0e0f54e89,Tesla Achieves Profitability Milestone,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/7,,1398.0,2022-10-19,2022,4,10,Security,CYBERSEC,parsed,exact,
291e5e9c2048621d,ART0008,e08516ed2f0a45ec,Microsoft Releases Open Source Framework,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/8,Sam Wilson,2417.0,2022-10-07,2022,4,10,Artificial Intelligence,AI_ML,parsed,exact,
1ed28f3839bbd9b8,ART0009,73302ba5dd85f6a2,MongoDB Expands into European Market,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/9,Jane Doe,1578.0,2023-02-07,2023,1,2,AI & ML,AI_ML,parsed,exact,
64d9645e3bcf1bc0,ART0010,73302ba5dd85f6a2,MongoDB Launches New AI-Powered Product,New product features leverage cutting-edge AI technology to solve customer problems.,https://technews.example.com/articles/10,,2672.0,2022-11-05,2022,4,11,Finance,FINTECH,parsed,exact,
